美国,39668541
印度,32737939
巴西,20741815
法国,6827146
俄罗斯,6785465
英国,6762904
土耳其,6329519
阿根廷,5173531
伊朗,4926964
哥伦比亚,4905258
西班牙,4831809
意大利,4530246
印度尼西亚,4073831
德国,3940212
墨西哥,3335700
波兰,2888231
南非,2764931
乌克兰,2381553
秘鲁,2149591
荷兰,1971713
菲律宾,1954023
伊拉克,1874435
马来西亚,1706089
捷克,1678862
智利,1637829
加拿大,1497283
孟加拉,1493537
日本,1460303
比利时,1177909
泰国,1174091
巴基斯坦,1156281
瑞典,1123413
罗马尼亚,1096753
以色列,1051609
葡萄牙,1034947
哈萨克斯坦,854842
摩洛哥,853373
匈牙利,811706
约旦,795161
瑞士,770765
尼泊尔,759222
塞尔维亚,757617
阿联酋,716381
奥地利,685956
突尼斯,660587
古巴,640438
黎巴嫩,600451
希腊,581315
沙特阿拉伯,543318
格鲁吉亚,543118
厄瓜多尔,501140
玻利维亚,490056
白俄罗斯,479306
危地马拉,465059
巴拉圭,458334
巴拿马,456666
哥斯达黎加,455784
保加利亚,451599
越南,435265
斯里兰卡,426169
阿塞拜疆,417996
科威特,409552
斯洛伐克,394742
缅甸,392300
乌拉圭,384692
克罗地亚,373191
多米尼加,349859
爱尔兰,349773
丹麦,345421
巴勒斯坦,337405
洪都拉斯,335398
委内瑞拉,333125
埃塞俄比亚,306117
利比亚,305793
阿曼,302132
立陶宛,297777
埃及,287899
巴林,272341
摩尔多瓦,266988
斯洛文尼亚,266514
韩国,250051
亚美尼亚,241336
肯尼亚,234952
卡塔尔,232366
波黑,212306
蒙古,211080
赞比亚,206051
阿尔及利亚,195162
尼日利亚,191345
吉尔吉斯斯坦,175437
北马其顿,175330
挪威,157040
乌兹别克斯坦,154844
博茨瓦纳,153793
阿富汗,152960
莫桑比克,145863
阿尔巴尼亚,144847
拉脱维亚,142319
爱沙尼亚,141344
芬兰,126093
纳米比亚,124716
津巴布韦,124437
乌干达,119732
加纳,117636
黑山,114364
塞浦路斯,113277
萨尔瓦多,94060
柬埔寨,92208
卢旺达,86613
喀麦隆,83425
马尔代夫,80791
卢森堡,75517
塞内加尔,72709
新加坡,67171
牙买加,66663
马拉维,60345
科特迪瓦,55108
刚果（金）,54508
澳大利亚,52612
安哥拉,47168
斐济,46027
特立尼达和多巴哥,44481
马达加斯加,42862
斯威士兰,42828
苏丹,37699
马耳他,36089
佛得角,35227
毛里塔尼亚,33309
几内亚,29209
苏里南,28840
叙利亚,27654
加蓬,25819
圭亚那,25323
多哥,21181
海地,20833
塞舌尔,19777
巴哈马,17940
巴布亚新几内亚,17838
索马里,17302
塔吉克斯坦,16778
东帝汶,16402
伯利兹,16012
安道尔,15025
马里,14857
老挝,14641
莱索托,14395
布基纳法索,13762
刚果（布）,13533
贝宁,13366
布隆迪,11994
吉布提,11741
南苏丹,11403
中非共和国,11270
尼加拉瓜,11167
冰岛,10658
冈比亚,9626
赤道几内亚,9326
毛里求斯,8667
圣卢西亚,8111
也门,7784
厄立特里亚,6640
塞拉利昂,6363
尼日尔,5839
几内亚比绍,5766
利比里亚,5538
圣马力诺,5261
乍得,4991
巴巴多斯,4931
科摩罗,4062
新西兰,3520
列支敦士登公国,3263
摩纳哥,3183
不丹,2594
圣多美和普林西比民主共和国,2590
文莱,2462
圣文森特和格林纳丁斯,2331
日本本土,1724
安提瓜和巴布达,1651
多米尼克,1638
坦桑尼亚,1367
圣基茨和尼维斯,1053
钻石号邮轮,712
格林纳达,357
马提尼克岛,37
梵蒂冈,27
所罗门群岛,20
西撒哈拉,10
尚丹号,9
瓦努阿图,4
马绍尔群岛,4
萨摩亚,3
密克罗尼西亚,1
